sold_price,address,bedNum,bathNum,sqarefootage,soldOn,List Date,Sold Date,Type,Style,Area,Municipality,Community,List Price,Bedrooms,Bathrooms,Kitchens,Rooms,Parking Total,Municipality District,Groceries #1 name,Groceries #2 name,Groceries #3 name,Liquor Store #1 name,Liquor Store #2 name,Liquor Store #3 name,Restaurants #1 name,Restaurants #2 name,Restaurants #3 name,Coffee #1 name,Coffee #2 name,Coffee #3 name,Bank #1 name,Bank #2 name,Bank #3 name,Gas Station #1 name,Gas Station #2 name,Gas Station #3 name,Park #1 name,Park #2 name,Park #3 name,Library #1 name,Library #2 name,Library #3 name,Medical Care #1 name,Medical Care #2 name,Medical Care #3 name,Pharmacy #1 name,Pharmacy #2 name,Pharmacy #3 name,Mall #1 name,Mall #2 name,Mall #3 name,Movie Theatre #1 name,Movie Theatre #2 name,Movie Theatre #3 name,Bar #1 name,Bar #2 name,Bar #3 name,Groceries #1 address,Groceries #2 address,Groceries #3 address,Groceries #1 distance,Groceries #2 distance,Groceries #3 distance,Liquor Store #1 address,Liquor Store #2 address,Liquor Store #3 address,Liquor Store #1 distance,Liquor Store #2 distance,Liquor Store #3 distance,Restaurants #1 address,Restaurants #2 address,Restaurants #3 address,Restaurants #1 distance,Restaurants #2 distance,Restaurants #3 distance,Coffee #1 address,Coffee #2 address,Coffee #3 address,Coffee #1 distance,Coffee #2 distance,Coffee #3 distance,Bank #1 address,Bank #2 address,Bank #3 address,Bank #1 distance,Bank #2 distance,Bank #3 distance,Gas Station #1 address,Gas Station #2 address,Gas Station #3 address,Gas Station #1 distance,Gas Station #2 distance,Gas Station #3 distance,Park #1 address,Park #2 address,Park #3 address,Park #1 distance,Park #2 distance,Park #3 distance,Library #1 address,Library #2 address,Library #3 address,Library #1 distance,Library #2 distance,Library #3 distance,Medical Care #1 address,Medical Care #2 address,Medical Care #3 address,Medical Care #1 distance,Medical Care #2 distance,Medical Care #3 distance,Pharmacy #1 address,Pharmacy #2 address,Pharmacy #3 address,Pharmacy #1 distance,Pharmacy #2 distance,Pharmacy #3 distance,Mall #1 address,Mall #2 address,Mall #3 address,Mall #1 distance,Mall #2 distance,Mall #3 distance,Movie Theatre #1 address,Movie Theatre #2 address,Movie Theatre #3 address,Movie Theatre #1 distance,Movie Theatre #2 distance,Movie Theatre #3 distance,Bar #1 address,Bar #2 address,Bar #3 address,Bar #1 distance,Bar #2 distance,Bar #3 distance,longitude,latitude,pageNum,iterationNum,weblink
"415,000", 20 Gilder Drive,3,2,1200-1399,"Apr 08, 2021",2021-01-04 00:00:00.0,2021-04-08 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Eglinton East,425000.00,3,2,1,6,1.0,Toronto E08,Yal Market,Jose's nofrills,Fuyao Supermarket,The Beer Store,LCBO,Beer Store The,Cho's Wok Restaurant,Pizza Pizza,Caribbean Ocean Restaurant,McDonald's,Tim Hortons,DAIRY QUEEN BRAZIER,Bmo Bank of Montreal,TD Canada Trust,RBC Royal Bank,Canadian Tire Gas+ - TOR - Eglinton/Winter,Canadian Tire Gas+,Shell,Anson Park,Scarborough Museum - City of Toronto Historic Sites,Thomson Memorial Park,Kennedy/Eglinton Library,Toronto Public Library - Kennedy/Eglinton Library,Toronto Public Library - Kennedy/Eglinton Branch,Ash Medical Pharmacy,Scarborough Academic Family Health Team,Shoppers Home Health Care,Rexall,Healthsmart Pharmasave,Ash Medical Pharmacy,Cliffcrest Plaza,SmartCentres Scarborough,Babies R Us CEDARBRAE MALL,Cineplex Odeon,Cineplex Odeon Eglinton Town Centre Cinemas,Cineplex,Tara Inn,Caddy's,close,2499 Eglinton Avenue East ,2430 Eglinton Avenue East ,8 Greystone Walk Drive  ,0.19,0.75,1.22,2727 Eglinton Avenue East ,1900 Eglinton Avenue East ,CedarbraeCedarbrae Plaza ,0.78,2.81,3.44,2500 Eglinton Avenue East ,2500 Eglinton Avenue East ,2480 Eglinton Avenue East ,0.13,0.15,0.2,2701 Lawrence Avenue East ,821 Brimley Road ,2916 Eglinton Avenue East ,1.76,1.91,1.82,2739 glinton Av E ,2428 Eglinton Avenue East ,2043 glinton Av E ,0.73,0.83,1.96,2601 Eglinton Avenue East ,2601 Eglinton Av E ,2424 glinton Av E ,0.41,0.41,0.91,50 Macduff Crescent ,1005 Brimley Road ,1005 Brimley Road ,1.83,2.48,2.58,2380 glinton Av E ,2380 Eglinton Avenue East ,2380 Eglinton Avenue East ,1.04,1.05,1.05,2900 Eglinton Avenue East ,3000 Lawrence Avenue East  ,685 McCowan Rd ,1.69,2.23,2.32,2682 Eglinton Avenue East ,2425 glinton Av E ,2900 Eglinton Avenue East ,0.66,0.8,1.69,3049 Kingston Road ,1900 Eglinton Avenue East ,3495 Lawrnc Av E ,2.45,3,3.48,22 Lebovic Ave ,22 Lebovic Ave ,22 Lebovic Avenue ,3.11,3.11,3.11,2609 Eglinton Avenue East ,2787 glinton Av E ,2932 Eglinton Avenue East ,0.48,1.05,1.84,-79.257812,43.736566,34,64,https://www.zolo.ca/toronto-real-estate/20-gilder-drive/703
"1,700,000",52 Pinewood Avenue,4,2,n/a,"Apr 07, 2021",2021-04-07 00:00:00.0,2021-04-07 00:00:00.0,Detached,2-Storey,Toronto,Toronto,Humewood-Cedarvale,1700000.00,4,2,1,8,1.0,Toronto C03,Freddie's nofrills,Freddie's No Frills,Loblaws Supermarkets Limited,LCBO Toronto-Central,The Beer Store,Beer Store,World Class Bakers,Mezzetta Restaurant & Tapas Br,Churrasco Of St Clair,Cocoalatte,Starbucks Coffee,Starbucks Coffee Inc.,ST CLAIR & OAKWOOD,CIBC Branch & ATM,CIBC Branch (Cash at ATM only),Shell,Canadian Tire Gas TOR,Esso,Wychwood Barns Park,Cedarvale Park,Vermont Square,Toronto Public Library,Toronto Public Library - Dufferin/St. Clair Branch,Toronto Public Library - Dufferin/St. Clair Library,CML HealthCare Laboratory Services,LifeLabs,Dufferin Medical Pharmacy,Haber's Compounding Pharmacy,Rexall Pharma Plus,St Clair Pharmacy Ltd,Showcase,Dufferin Mall,Hazelton Lanes Shopping Centre,Bloor Hot Docs Cinema,Hot Docs Ted Rogers Cinema,The Bloor Hot Docs Cinema,Dave's... On St. Clair,Dave's...,Ferro Bar & Cafe,243 Alberta Avenue ,243 Alberta Ave ,396 Saint Clair Avenue West ,0.74,0.77,0.76,908 St Clair Ave W ,529 Oakwood Ave ,529 Oakwood Avenue ,0.8,1.63,1.63,690 Saint Clair Avenue West ,681 Saint Clair Avenue West ,679 St Clair Ave W ,0.27,0.29,0.29,671 Saint Clair Avenue West ,687 St Clair Ave W ,687 St Clair Ave W ,0.28,0.3,0.3,935 Saint Clair Avenue West ,364 Oakwood Avenue ,364 Oakwood Avenue ,0.93,1.09,1.1,1077 Yonge Street ,403 Keele Street ,537 Keele Street ,2.9,3.71,3.62,76 Wychwood Ave ,443 Arlington Ave ,914 Bathurst Street ,0.5,0.79,1.76,1431 Bathurst Street ,1625 Dufferin Street ,1625 Dufferin Street ,0.69,1.56,1.57,1615 Dufferin Street  ,1615 Dufferin Street  ,2045 Dufferin Street ,1.59,1.59,1.67,1584 Bathurst Street ,393 Spadina Road ,1223 St Clair W ,0.56,1.16,1.71,900 Dufferin Street ,900 Dufferin St ,87 Avenue Rd ,3.14,3.21,2.82,506 Bloor Street West ,506 Bloor Street West ,506 Bloor Street West ,2.42,2.43,2.43,730 Saint Clair Avenue West ,730 Saint Clair Avenue West ,769 Saint Clair Avenue West ,0.33,0.32,0.43,-79.425514,43.684036,34,66,https://www.zolo.ca/toronto-real-estate/52-pinewood-avenue
"1,480,000",90 Dalmatian Crescent,4+4,4,3000-3500,"Apr 07, 2021",2021-04-07 00:00:00.0,2021-04-07 00:00:00.0,Detached,2-Storey,Toronto,Toronto,Highland Creek,1299000.00,4,4,1,10,6.0,Toronto E10,Lucky Dollar Food Centre,Daisy Mart,Hasty Market,LCBO Toronto-Scarborough,LCBO,Beer Store The,Shamrock Burgers,Teds Restaurant,Ted's Restaurant,Lamanna's Bakery,La Prep,"Yvonne""s Coffee Haus",CIBC Branch & ATM,CIBC Branch (Cash at ATM only),CIBC Branch with ATM,Shell,Petro-Canada,Petro Canada,Lavery Trail Park,Bob Hunter Park,Dean Park,Highland Creek Library,Toronto Public Library - Highland Creek Library,University of Toronto Scarborough Library,Highland Creek Po,Highland Creek Pharmacy,InStep Foot Clinic,Highland Creek Pharmacy,Highland Creek Po,Shoppers Drug Mart,Digital Trading,Ravine Park Plaza,4410 Kingston Road,Cineplex,Cineplex Odeon,Cineplex Odeon Morningside Cinemas,Kilt Pub,Port Union Fish & Chips,Liverpool Arms Pub,6099 Kingston Rd ,380 Old Kingston Road ,9390 Shppard Av E ,0.9,0.92,2.04,5508 Lawrnc Av E ,255 Morningside Av ,CentenaryCentenary Plaza ,2.43,2.84,3.29,6109 Kingston Road ,404 Old Kingston Road ,404 Old Kingston Road ,0.84,0.84,0.84,6758 Kingston Rd ,1095 Military Trail  ,98 Island Road ,1.51,2.06,2.19,371 Old Kingston Road ,371 Old Kingston Road  ,371 Old Kingston Road ,0.95,0.96,0.96,6731 Kingston Road ,9501 Sheppard Avenue East ,9501 Shppard Av E ,1.43,1.94,1.94,40 Lavery Trail ,205 Generation Boulevard ,80 Dean Park Road ,0.67,1.08,1.28,3550 Ellesmere Road ,3550 Ellesmere Road ,1265 Military Trail ,0.87,0.88,1.93,364 Old Kingston Road ,371 Old Kingston Road ,6758 Kingston Road ,0.97,0.97,1.52,371 Old Kingston Road ,364 Old Kingston Road ,91 Rylander Boulevard ,0.97,0.97,1.12,47 Generation Boulevard  ,275 Port Union Road ,4410 Kingston Road ,1.45,1.99,3.3,785 Milner Ave ,785 Milner Avenue ,785 Milner Avenue ,3.21,3.22,3.24,371 Old Kingston ,65 Rylander Blvd ,9390 Shppard Av E ,0.96,1.37,2.05,-79.164466,43.791271,34,68,https://www.zolo.ca/toronto-real-estate/90-dalmatian-crescent
"560,000", 260 Scarlett Road,1,1,800-899,"Apr 07, 2021",2021-04-07 00:00:00.0,2021-04-07 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Rockcliffe-Smythe,560000.00,1,1,1,7,1.0,Toronto W03,Food Basics,Loblaws,Absolutely Fine Foods,The Beer Store,Beer Store,LCBO,New Orleans Seafood & Steakhouse,Yummy Yummy Chinese Food,MR.SUB,Tim Hortons,Java Joe's,Second Cup,RBC Royal Bank,JANE & DALRYMPLE,LA ROSE & GRIGGSDEN,Esso,Husky,Royal York Husky,Scarlett Mills Park,Scarlett Woods Golf Course,Scarlett Heights Park,Jane/Dundas Library,Toronto Public Library - Mount Dennis Library,Mount Dennis Library,West Park Healthcare Centre,Dundas Dental Hygiene Clinic,Dundas Dental and Hygiene Clinic,Kingsway Pharmacy Remedy’s RX,Kingsway Pharmasave,La Rose Pharmacy,Sport Displays,WIND Mobile | Humber Town,Humbertown Shopping Centre,Kingsway Theatre,Kingsway Cafe,Humber Cinemas,The Irish Rose Pub,Wild Wing,Casa Barcelona!,853 Jane Street ,3671 Dundas Street West ,270 The Kingsway  ,1.09,1.56,1.82,3524 Dundas St W ,3524 Dundas Street West ,3520 Dundas Street West ,1.88,1.91,1.9,267 Scarlett Rd ,26 Scarlett Road ,883 Jane St Jane Park Plaza ,0.16,1.16,1.02,280 Scarlett Road ,4242 Dundas St W ,270 The Kingsway ,0.52,1.97,1.82,901 Jane St ,901 Jane St ,140 La Rose Avenue ,0.91,0.91,1.48,280 Scarlett Rd ,2492 Saint Clair Avenue West ,1498 Royal York Road ,0.5,1.98,2.41,235 Edenbridge Drive ,1000 Jane Street ,24 Fontenay Court ,0.53,0.71,0.76,620 Jane St ,1123 Weston Road ,1123 Weston Road ,1.8,1.91,1.91,82 Buttonwood Avenue  ,4154 Dundas Street West ,4154 Dundas Street West ,1.4,1.68,1.68,4242 Dundas Street West ,4242 Dundas Street West ,140 La Rose Ave ,1.9,1.91,1.63,28 Edinborough Court ,270 Kingsway ,270 S Kingsway ,0.49,1.94,1.92,3030 Bloor Street West ,3030 Bloor Street West ,2442 Bloor St W ,3.28,3.29,3.54,1095 Weston Road ,2561 Saint Clair Avenue West ,2980 Bloor Street West ,1.93,1.95,3.18,-79.507581,43.676597,35,24,https://www.zolo.ca/toronto-real-estate/260-scarlett-road/1408
"4,202,000",66 Aldershot Crescent,5+2,7,5000+,"Apr 07, 2021",2021-04-06 00:00:00.0,2021-04-07 00:00:00.0,Detached,2-Storey,Toronto,Toronto,St. Andrew-Windfields,3988000.00,5,7,1,10,6.0,Toronto C12,Rabba Fine Foods,Honey Bear,York Mills Centre,The Beer Store,LCBO Toronto-North York,LCBO,Pizza Pizza,Domino's Pizza,Wimpy's Diner,Tim Hortons,McDonald's,Second Cup,TD Canada Trust Branch and ATM,TD Canada Trust,TD Bank Financial Group,Canadian Tire Gas+ - TOR - Sheppard/Leslie,Petro-Canada,Bathurst And Wilson ESSO,Tournament Park,Don Valley Golf Course,Bayview-York Mills Parkette,Toronto Public Library - Bayview Library,Toronto Public Library - Bayview Branch,Bayview Library,Spinal Relief Centre of Canada,Toronto North Animal Hospital,Primacy - North York Family Physicians After Hours Clinic,Rexall Pharma Plus,Metro Pharmacy,North York City Centre Pharmacy,Sheppard Centre Management Office,York Mills Shopping Centre,Riocan Empress Walk Inc,Cineplex Odeon Sheppard Cinemas,Empress Walk,Cineplex Cinemas Yonge-Eglinton,Auberge du Pommier,Shoeless Joe's,Boston Pizza,12 Harrison Garden Boulevard ,249 Sheppard Avenue East ,16 York Mills Rd ,0.88,1.18,1.17,SheppardSheppard  Willowdale ,2901 Bayview Ave ,2901 Bayview Avenue  ,1.09,2.08,2.12,181 Sheppard Avenue East ,201 Shppard Av E ,199 Shppard Av E ,1.07,1.08,1.08,4110 Yonge St ,4808 Yonge Street ,311 York Mills Rd ,1.15,1.32,1.38,29 The Links Road ,29 The Links Road ,29 The Links Rd ,0.39,0.39,0.44,1015 Sheppard Avenue East  ,2908 Yonge Street ,3750 Bathurst ,2.72,3.6,3.37,40 Tournament Drive ,4200 Yonge Street ,320 York Mills Road ,0.34,1.25,1.36,2901 Bayview Avenue ,2901 Bayview Avenue ,2901 Bayview Avenue ,1.98,1.98,1.99,53 The Links Road  ,317 Shppard Av E ,2901 Bayview Avenue ,0.38,1.42,1.92,288 Sheppard Avenue East ,500 Shppard Av E ,5 Park Home Avenue Unit  ,1.16,1.63,2,2 Shppard Av E ,291 York Mills Rd ,5095 Yonge St ,1.24,1.36,1.92,4861 Yonge Street ,5095 Yonge Street ,2300 Yonge Street ,1.29,1.92,5.19,4150 Yonge Street ,43 Sheppard Avenue East ,4841 Yonge St  ,1.06,1.16,1.3,-79.398944,43.754092,35,26,https://www.zolo.ca/toronto-real-estate/66-aldershot-crescent
"2,550,000",292 Jedburgh Road,4+1,4,n/a,"Apr 07, 2021",2021-04-06 00:00:00.0,2021-04-07 00:00:00.0,Detached,2-Storey,Toronto,Toronto,Lawrence Park North,2398000.00,4,4,1,8,1.0,Toronto C04,Loblaws,Loblaw Great Food,Dino's No Frills,The Beer Store,LCBO,Beer Store,The Hellenik Grill,Wildfire Steakhouse & Wine Bar,Wildfire Steakhouse North York,McDonald's,t-buds:Tea Lounge and Creperie,La Bamboche,AVENUE ROAD & CRANBROOKE,CIBC Branch with ATM,CIBC Branch & ATM,Petro-Canada,Shell,Bathurst And Wilson ESSO,Camp White Pine Summer Camps,Rosedale Golf Club,Lawrence Park,Locke Library,Toronto Public Library,Toronto Public Library - Locke Library,Spinal Relief Centre of Canada,Baycrest,Baycrest Health Sciences,Smith's Pharmacy,Forest Hill Pharmasave Pharmacy,Mount Pleasant Pharmacy,Lawrence Plaza,RioCan Yonge Eglinton Centre,Yonge Eglinton Centre,Cineplex Cinemas Yonge-Eglinton,SilverCity Yonge-Eglinton Cinemas,Cineplex Cinemas Yonge-Eglinton and VIP,Wildfire Steakhouse North York,The Burger Cellar,Monkey Bar and Grill,3501 Yonge Street ,3501 Yonge Street ,1811 Avenue Road ,0.48,0.55,0.85,1580 Avenue Rd ,1838 Avenue Road ,1580 Avenue Road ,1.09,0.93,1.1,6 Fairlawn Avenue ,3438 Yonge St ,3438 Yonge Street ,0.31,0.35,0.35,3400 Yonge Street ,3343 Yonge St ,1712 Avenue Road ,0.31,0.36,0.9,1635 Avenue Road ,1623 Avenue Road ,504 Lawrence Avenue West ,0.95,0.98,2.24,2908 Yonge Street ,4021 Yonge St ,3750 Bathurst ,1.22,1.34,2.18,40 Lawrence Avenue West ,1901 Mount Pleasant Road ,3055 Yonge Street ,0.83,0.79,1.02,3083 Yonge St ,3083 Yonge Street ,3083 Yonge Street ,0.92,0.92,0.92,53 The Links Road  ,3560 Bathur St ,3560 Bathurst Street ,2.24,1.99,2.1,3463 Yonge Street ,491 Eglinton Av W ,245 Eglinton Avenue East ,0.41,3.17,3,534 Larence Ave W ,2300 Yonge Street co  Eglinton Avenue West ,2300 Yonge Street ,2.3,2.84,2.86,2300 Yonge Street ,2300 Yonge St ,2300 Yonge Street ,2.8,2.82,2.83,3438 Yonge Street ,3391 Yonge St ,3353 Yonge ,0.35,0.34,0.36,-79.407944,43.731688,35,28,https://www.zolo.ca/toronto-real-estate/292-jedburgh-road
"2,200,000",34 Brookfield Street,3,2,1500-2000,"Apr 07, 2021",2021-04-06 00:00:00.0,2021-04-07 00:00:00.0,Detached,2-Storey,Toronto,Toronto,Trinity-Bellwoods,1850000.00,3,2,1,7,2.0,Toronto C01,Metro,Anthony's No Frills,Vi's No Frills,Bellwoods Brewery,Wine Rack,LCBO,Paramour Dining,Church Aperitivo Bar,Nyood Restaurant and Bar,The Knit Cafe,El Almacen,Luna Café,BLOOR & DOVERCOURT,RBC Royal Bank,TD Canada Trust Branch and ATM,King St Esso,Shell,Canadian Tire Gas TOR,Trinity Bellwoods Park,Allan Lamport Stadium Park,Exhibition Place,Toronto Public Library - Bloor/Gladstone Library,Bloor/Gladstone Library,High Park Library,Centre for Addiction and Mental Health,Toronto Western Hospital,"THE MEDICAL PRACTICE , WALK-IN & FAMILY PRACTICE CLINIC",Rexall Pharma Plus,Rexall,Shoppers Drug Mart,Dufferin Mall,Showcase,Kensington Market,The Royal,Cineforum,Ontario Place Corporation,Wicked Club,Wicked Club Toronto,Camera Bar,735 College St ,1435 King Street West ,1435 King Street West ,1.05,1.58,1.58,124 Ossington Ave ,746 King Street West ,900 Dufferin Street Unit  ,0.22,1.27,1.79,94 Ossington Avenue ,1090 Queen Street West ,1096 Queen Street West ,0.15,0.2,0.24,1050 Queen Street West ,1078 Queen Street West ,181 Dovercourt Road ,0.12,0.17,0.25,972 Bloor Street West ,434-436 King Street West ,382 Roncesvalles Avenue ,1.94,2.11,2.52,952 King St W ,1077 Yonge Street ,403 Keele Street ,0.77,4.52,4.26,790 Queen Street West ,1151 King Street West ,200 Princes Blvd ,0.63,0.79,1.41,1101 Bloor Street West ,1101 Bloor St W ,228 Roncesvalles Avenue ,1.98,1.99,2.29,1001 Queen St W ,399 Bathur St ,799 Bloor Street West rd floor ,0.24,1.51,1.97,1421 Dundas Street West ,1421 Dundas Street West ,901 King Street West ,0.85,0.85,0.83,900 Dufferin St ,900 Dufferin Street ,KensingtonKensington Ave ,1.73,1.83,1.91,608 College St ,463 Bathurst Street ,955 Lake Shore Boulevard West ,1.24,1.6,1.93,358 Queen Street East ,1032 Queen St W ,1028 Queen Street West ,0.1,0.12,0.12,-79.420571,43.644909,35,30,https://www.zolo.ca/toronto-real-estate/34-brookfield-street
"1,950,000",20 Wellesley Avenue,3,3,1500-2000,"Apr 07, 2021",2021-04-06 00:00:00.0,2021-04-07 00:00:00.0,Semi-Detached,3-Storey,Toronto,Toronto,Cabbagetown-South St. James Town,1849900.00,3,3,1,6,1.0,Toronto C08,Food Basics,Loblaws - Broadview Ave,Loblaws,LCBO,Beer Store,The Beer Store,F'Amelia,Rashnaa Restaurant,Tim Hortons,Tim Hortons,JetFuel Coffee shop,Jet Fuel Coffee Shop Inc.,CIBC Branch & ATM,CIBC Branch with ATM,CIBC Branch,Leslieville Pumps,Lake Shore & Carlaw Esso,Transfer Stations,Prince Edward Viaduct Parkette,Anniversary Park,Riverdale Park,Gerstein Centre,Canadian Lesbian And Gay Archives,Ryerson University Library & Archives,Albany Medical Clinic,Bridgepoint Active Healthcare,Bridgepoint Health,Marshall's Drug Store,Rexall Pharma Plus,Loblaw pharmacy,Canderel College Park,Hudson's Bay Shopping Centre,CF Toronto Eaton Centre,Imagine Cinemas Carlton Cinema,Ed Mirvish Theatre,Panasonic Theatre,F'Amelia,The Flying Beaver Pubaret™,House on Parliament,238 Wllsly St E ,720 Broadview Ave  ,720 Broadview Avenue ,0.6,km,0.84,10 Scrivener Square ,380 Donlands Avenue ,380 Donlands Avenue ,2.36,3.25,3.25,12 Amelia Street ,307 Wellesley Street East ,537 Parliament Street ,0.38,0.37,0.52,537 Parliament Street ,519 Parliament Street ,519 Parliament Street ,0.52,0.56,0.57,245 Carlton Street ,245 Carlton Street ,245 Carlton Street ,0.69,0.69,0.69,929 Queen Street East ,829 Lake Shore Boulevard East ,400 Commissioners St ,2.21,2.8,2.99,725 Bloor St E ,410 Parliament Street ,201 Winchester Street ,0.47,0.89,0.76,100 Charles Street East ,34 Isabella St ,350 Victoria Street ,1.27,1.53,1.8,807 Broadview Ave ,14 St Matthews Rd ,14 Saint Matthews Road ,1.06,0.92,0.92,412 Summerhill Avenue ,325 Moore Avenue ,11 Redway Road ,2.01,3.04,3.28,777 Bay St ,20 Bloor Street East ,220 Yonge Street ,1.72,1.66,2.13,20 Carlton Street ,244 Victoria Street ,651 Yonge Street ,1.62,1.98,1.65,12 Amelia Street ,488 Parliament St ,454 Parliament Street ,0.38,0.64,0.74,-79.365274,43.669905,35,32,https://www.zolo.ca/toronto-real-estate/20-wellesley-avenue
"1,223,000",26 Hugo Avenue,2,1,n/a,"Apr 07, 2021",2021-04-06 00:00:00.0,2021-04-07 00:00:00.0,Att/Row/Twnhouse,2-Storey,Toronto,Toronto,Dovercourt-Wallace Emerson-Junction,899900.00,2,1,1,9,1.0,Toronto W02,Loblaws,Tim & Sue's No Frills,The Sweet Potato,The Beer Store,Beer Store The,Beer Store,Thai Lime,Cocina de Doña Julia,FARMHOUSE tavern,Hula Girl Espresso Boutique,Junction Eatery,McDonald's,CIBC Branch & ATM,CIBC Branch,National Bank,Canadian Tire Gas TOR,Esso,Shell Canada,Earlscourt Park,High Park Village,High Park,St. Clair/Silverthorn Library,Toronto Public Library - St. Clair/Silverthorn Branch,Toronto Public Library - St. Clair/Silverthorn Library,The Doctor's Office,LifeLabs,CML HealthCare Laboratory Services,Rexall Pharma Plus,Rexall,Shoppers Simply Pharmacy,Toronto Weston Flea Market,Showcase,Dufferin Mall,Revue Cinema,The Revue Cinema,Humber Cinemas,FARMHOUSE tavern,Latinada,Indie Alehouse,2280 Dundas Street West ,372 Pacific Avenue ,2995 Dundas St W ,1.33,1.22,1.25,323 Symington Avenue ,2135 Dundas Street West ,904 Dufferin Street ,0.2,1.55,1.66,1551 Dupont St ,1545 Dupont Street ,1627 Dupont Street ,0.14,0.16,0.22,2473 Dundas Street West ,DundasDundas Street West ,2365 Dundas Street West ,0.73,0.73,1.04,2340 Dundas Street West ,2340 Dundas Street West ,1295 Saint Clair Avenue West ,1.05,1.05,1.18,403 Keele Street ,537 Keele Street ,1610 Keele St ,0.88,1.1,2.3,1200 Lansdowne Avenue ,65 High Park Avenue ,1873 Bloor Street West ,0.85,1.55,1.87,1748 Saint Clair Avenue West ,1748 Saint Clair Avenue West ,1748 Saint Clair Avenue West ,1.04,1.05,1.05,2299 Dundas Street West ,1615 Dufferin Street  ,1615 Dufferin Street  ,1.2,1.46,1.46,1245 Dupont Street ,1245 Dupont Street ,1223 Saint Clair Avenue West  ,0.95,1.04,1.42,404 Old Weston Road ,900 Dufferin Street ,900 Dufferin St ,1.19,1.75,1.84,400 Roncesvalles Ave ,400 Roncesvalles Ave ,2442 Bloor St W ,1.71,1.7,3.16,1627 Dupont Street ,1671 Bloor Street West ,2876 Dundas Street West ,0.22,1.25,0.94,-79.453593,43.666233,35,34,https://www.zolo.ca/toronto-real-estate/26-hugo-avenue
"1,038,000", 228 Queens Quay W,2,2,900-999,"Apr 07, 2021",2021-04-06 00:00:00.0,2021-04-07 00:00:00.0,Condo Apt,Apartment,Toronto,Toronto,Waterfront Communities C1,899900.00,2,2,1,4,1.0,Toronto C01,Rabba's Fine Foods,Sobeys,Sobeys Urban Fresh Queens Quay,Steam Whistle Brewing,The Beer Store,LCBO,Wallymagoo's Marine Bar,Amsterdam BrewHouse,Ichiban Sushi,The Strathcona Hotel,Fresh & Wild,Brassaii,Scotiabank,Royal Bank Building,RBC Royal Bank,Esso,King St Esso,Transfer Stations,Roundhouse Park,HTO Park,Clarence Square,TIFF Bell Lightbox,Toronto Public Library - City Hall Library,City Hall Library,Infinity Health Centre,Emkiro Health Services | Toronto's Landmark for Healthcare™ | 📲 emkiro.ca,Patient Networks Family Medicine Walk In Clinic,Loblaws,Shoppers Drug Mart,Toronto Western Hospital,Toronto-Dominion Centre,Toronto Eaton Centre,CF Toronto Eaton Centre,Princess of Wales Theatre,Toronto International Film Festival,Scotiabank Theatre Toronto,Amsterdam BrewHouse,Aria Ristorante,Jack Astor's Bar & Grill,252 Queens Quay W ,207 Queens Quay West ,207 Queens Quay West ,0.18,0.23,0.24,255 Bremner Boulevard ,350 Queens Quay West ,2 Cooper Street ,0.2,0.46,0.94,245 Queens Quay West ,245 Queens Quay West ,262 Queens Quay West ,0.18,0.23,0.2,60 York Street ,69 Spadina Avenue ,461 King St W ,0.71,1.14,1.2,40 King Street West ,8 King Street East ,434-436 King Street West ,1.09,1.16,1.1,553 Lake Shore Boulevard West ,952 King St W ,400 Commissioners St ,1.36,2.31,3.9,255 Bremner Blvd ,339 Queens Quay West ,25 Clarence Square ,0.22,0.46,0.94,350 King Street West ,100 Queen Street West ,100 Queen Street West ,0.94,1.48,1.48,39 Lower Simcoe Street ,70 University Avenue  ,157 Yonge Street ,0.26,0.77,1.43,585 Queen Street West ,524 Queen Street West ,399 Bathur St ,1.69,1.75,2.37,66 ellington St W ,220 Yonge St ,220 Yonge Street ,0.89,1.61,1.65,300 King St W  ,350 King Street West ,259 Richmond Street West ,km,0.97,1.16,245 Queens Quay West ,25 York Street ,144 Front Street West ,0.23,0.47,0.62,-79.383466,43.639594,35,36,https://www.zolo.ca/toronto-real-estate/228-queens-quay-west/2706
